ANO,UF,Codmun6,Codmun7,Município,T_ANALF25M
1991,11,110001,1100015,ALTA FLORESTA D'OESTE,31.39
1991,11,110002,1100023,ARIQUEMES,22.32
1991,11,110003,1100031,CABIXI,32.93
1991,11,110004,1100049,CACOAL,28.50
1991,11,110005,1100056,CEREJEIRAS,27.32
1991,11,110006,1100064,COLORADO DO OESTE,34.49
1991,11,110007,1100072,CORUMBIARA,42.79
1991,11,110008,1100080,COSTA MARQUES,24.30
1991,11,110009,1100098,ESPIGÃO D'OESTE,29.58
1991,11,110010,1100106,GUAJARÁ-MIRIM,21.73
1991,11,110011,1100114,JARU,31.44
1991,11,110012,1100122,JI-PARANÁ,24.37
1991,11,110013,1100130,MACHADINHO D'OESTE,27.57
1991,11,110014,1100148,NOVA BRASILÂNDIA D'OESTE,38.85
1991,11,110015,1100155,OURO PRETO DO OESTE,28.21
1991,11,110018,1100189,PIMENTA BUENO,24.65
1991,11,110020,1100205,PORTO VELHO,16.81
1991,11,110025,1100254,PRESIDENTE MÉDICI,37.56
1991,11,110026,1100262,RIO CRESPO,34.04
1991,11,110028,1100288,ROLIM DE MOURA,29.33
1991,11,110029,1100296,SANTA LUZIA D'OESTE,36.06
1991,11,110030,1100304,VILHENA,18.97
1991,11,110032,1100320,SÃO MIGUEL DO GUAPORÉ,34.78
1991,11,110033,1100338,NOVA MAMORÉ,38.46
1991,11,110034,1100346,ALVORADA D'OESTE,34.42
1991,11,110037,1100379,ALTO ALEGRE DOS PARECIS,34.67
1991,11,110040,1100403,ALTO PARAÍSO,29.90
1991,11,110045,1100452,BURITIS,36.19
1991,11,110050,1100502,NOVO HORIZONTE DO OESTE,37.97
1991,11,110060,1100601,CACAULÂNDIA,34.20
1991,11,110070,1100700,CAMPO NOVO DE RONDÔNIA,38.81
1991,11,110080,1100809,CANDEIAS DO JAMARI,34.40
1991,11,110090,1100908,CASTANHEIRAS,45.62
1991,11,110092,1100924,CHUPINGUAIA,35.23
1991,11,110094,1100940,CUJUBIM,35.39
1991,11,110100,1101005,GOVERNADOR JORGE TEIXEIRA,44.34
1991,11,110110,1101104,ITAPUÃ DO OESTE,31.86
1991,11,110120,1101203,MINISTRO ANDREAZZA,41.96
1991,11,110130,1101302,MIRANTE DA SERRA,37.41
1991,11,110140,1101401,MONTE NEGRO,34.58
1991,11,110143,1101435,NOVA UNIÃO,43.79
1991,11,110145,1101450,PARECIS,42.46
1991,11,110146,1101468,PIMENTEIRAS DO OESTE,31.47
1991,11,110147,1101476,PRIMAVERA DE RONDÔNIA,35.63
1991,11,110148,1101484,SÃO FELIPE D'OESTE,36.67
1991,11,110149,1101492,SÃO FRANCISCO DO GUAPORÉ,34.03
1991,11,110150,1101500,SERINGUEIRAS,33.33
1991,11,110155,1101559,TEIXEIRÓPOLIS,37.14
1991,11,110160,1101609,THEOBROMA,39.66
1991,11,110170,1101708,URUPÁ,39.51
1991,11,110175,1101757,VALE DO ANARI,37.80
1991,11,110180,1101807,VALE DO PARAÍSO,36.10
1991,12,120001,1200013,ACRELÂNDIA,44.23
1991,12,120005,1200054,ASSIS BRASIL,48.83
1991,12,120010,1200104,BRASILÉIA,44.43
1991,12,120013,1200138,BUJARI,52.69
1991,12,120017,1200179,CAPIXABA,53.08
1991,12,120020,1200203,CRUZEIRO DO SUL,46.69
1991,12,120025,1200252,EPITACIOLÂNDIA,40.18
1991,12,120030,1200302,FEIJÓ,65.32
1991,12,120032,1200328,JORDÃO,87.79
1991,12,120033,1200336,MÂNCIO LIMA,56.48
1991,12,120034,1200344,MANOEL URBANO,72.34
1991,12,120035,1200351,MARECHAL THAUMATURGO,80.07
1991,12,120038,1200385,PLÁCIDO DE CASTRO,43.29
1991,12,120039,1200393,PORTO WALTER,77.24
1991,12,120040,1200401,RIO BRANCO,25.68
1991,12,120042,1200427,RODRIGUES ALVES,61.50
1991,12,120043,1200435,SANTA ROSA DO PURUS,80.38
1991,12,120045,1200450,SENADOR GUIOMARD,42.91
1991,12,120050,1200500,SENA MADUREIRA,56.02
1991,12,120060,1200609,TARAUACÁ,65.21
1991,12,120070,1200708,XAPURI,47.67
1991,12,120080,1200807,PORTO ACRE,45.89
1991,13,130002,1300029,ALVARÃES,54.87
1991,13,130006,1300060,AMATURÁ,50.84
1991,13,130008,1300086,ANAMÃ,45.93
1991,13,130010,1300102,ANORI,51.60
1991,13,130014,1300144,APUÍ,37.64
1991,13,130020,1300201,ATALAIA DO NORTE,66.87
1991,13,130030,1300300,AUTAZES,39.96
1991,13,130040,1300409,BARCELOS,45.60
1991,13,130050,1300508,BARREIRINHA,25.93
1991,13,130060,1300607,BENJAMIN CONSTANT,52.30
1991,13,130063,1300631,BERURI,65.09
1991,13,130068,1300680,BOA VISTA DO RAMOS,30.91
1991,13,130070,1300706,BOCA DO ACRE,56.74
1991,13,130080,1300805,BORBA,41.82
1991,13,130083,1300839,CAAPIRANGA,55.88
1991,13,130090,1300904,CANUTAMA,64.54
1991,13,130100,1301001,CARAUARI,67.83
1991,13,130110,1301100,CAREIRO,55.37
1991,13,130115,1301159,CAREIRO DA VÁRZEA,45.79
1991,13,130120,1301209,COARI,52.27
1991,13,130130,1301308,CODAJÁS,51.69
1991,13,130140,1301407,EIRUNEPÉ,65.93
1991,13,130150,1301506,ENVIRA,70.81
1991,13,130160,1301605,FONTE BOA,54.61
1991,13,130165,1301654,GUAJARÁ,64.44
1991,13,130170,1301704,HUMAITÁ,56.38
1991,13,130180,1301803,IPIXUNA,72.70
1991,13,130185,1301852,IRANDUBA,37.58
1991,13,130190,1301902,ITACOATIARA,26.07
1991,13,130195,1301951,ITAMARATI,86.07
1991,13,130200,1302009,ITAPIRANGA,20.12
1991,13,130210,1302108,JAPURÁ,77.19
1991,13,130220,1302207,JURUÁ,67.90
1991,13,130230,1302306,JUTAÍ,67.26
1991,13,130240,1302405,LÁBREA,66.47
1991,13,130250,1302504,MANACAPURU,41.57
1991,13,130255,1302553,MANAQUIRI,46.13
1991,13,130260,1302603,MANAUS,11.67
1991,13,130270,1302702,MANICORÉ,47.18
